dbpedia_14427,thing film film album holiday musical televisionepisode album album
dbpedia_3681,book televisionshow thing film person film person televisionshow film film
dbpedia_12020,thing country administrativeregion _ thing administrativeregion legislature _ _
dbpedia_10315,_ _ _ _ _ thing _ _ thing
dbpedia_1335,person officeholder _ _ film officeholder person film _
dbpedia_6016,_ _ _ _ _ _ thing _ _
dbpedia_3432,thing thing _ _ film _ saint _ thing
dbpedia_16006,officeholder _ station crater _ thing person _ book
dbpedia_278,person person person person person person person person person award
dbpedia_7661,soccerplayer soccerplayer thing soccerplayer soccerplayer thing soccermanager _ governor
dbpedia_11196,_ thing _ _ thing _ _ _ _
dbpedia_9060,_ _ _ _ _ _ thing _ _
dbpedia_14631,fictionalcharacter film film film film thing person televisionshow person film
dbpedia_6019,_ settlement thing officeholder thing thing _ _ album
dbpedia_21638,radioprogram thing thing company company award station publisher _
dbpedia_4600,americanfootballplayer company _ road _ _ americanfootballplayer nationalfootballleagueseason road
dbpedia_20525,writer televisionshow book book person _ _ _ book
dbpedia_22649,school settlement school school school school _ school school
dbpedia_14877,chemicalcompound chemicalcompound _ _ _ weapon _ _ thing
dbpedia_22706,senator person thing writer person election nonprofitorganisation award election
dbpedia_20349,film film person thing _ _ building person _
dbpedia_5165,_ railwayline _ handballteam hockeyteam town _ _ _
dbpedia_16157,film book book writtenwork book book book _ book
dbpedia_10722,museum museum _ museum book museum museum _ museum
dbpedia_3860,soccerleague event _ soccertournament _ convention _ _ _
dbpedia_6003,writer writer thing _ _ film thing thing album
dbpedia_8347,single album single musicalartist band musicalartist thing musicalartist musicalartist musicalartist
dbpedia_7283,_ _ _ _ _ _ _ _ _
dbpedia_6797,station settlement station station station station station station station station
dbpedia_4735,_ _ _ _ _ _ _ _ _
dbpedia_8989,thing person thing thing _ _ person person person
dbpedia_378,_ videogame thing book _ _ _ fictionalcharacter _
dbpedia_21199,website videogame book comicstrip book book person book film
dbpedia_9088,town school town _ _ historicplace _ school school
dbpedia_13222,person film film film person award fashiondesigner thing thing person
dbpedia_16208,book person book _ _ _ militaryconflict film _
dbpedia_5351,mythologicalfigure insect musicalartist _ insect insect musicgenre musicalartist thing
dbpedia_4947,galaxy galaxy _ _ galaxy galaxy galaxy _ _
dbpedia_4069,thing play _ film baronet album album person person
dbpedia_4908,_ athlete organisation _ _ _ _ _ _
dbpedia_21148,company company company school thing company company _ _
dbpedia_12607,thing thing thing thing officeholder musicalartist cyclist album _
dbpedia_14616,protein person _ _ _ thing musicalartist _ person
